height,height2,height3,FG3_attempted_by_minutes,FG3_attempted_by_minutes_1,FG3_attempted_by_minutes_2,FG3_attempted_by_minutes_3,position,position2
196,"0,45",0.45000000,"0,100952381",0.10095238,"0,2951375254",0.29513753,Shooting guard,1
206,"0,7",0.70000000,"0,1457643161",0.14576432,"0,4261466556",0.42614666,Center,4
203,"0,625",0.62500000,"0,138330494",0.13833049,"0,4044136382",0.40441364,Power forward,3
203,"0,625",0.62500000,"0,3358695652",0.33586957,"0,9819254517",0.98192545,Small forward,2
198,"0,5",0.50000000,"0,09332589701",0.09332590,"0,2728412547",0.27284125,Power forward,3
198,"0,5",0.50000000,"0,007496740548",0.00749674,"0,02191696156",0.02191696,Small forward,2
211,"0,825",0.82500000,"0,2287390029",0.22873900,"0,6687258151",0.66872582,Center,4
196,"0,45",0.45000000,"0,169522542",0.16952254,"0,4956045914",0.49560459,Shooting guard,1
213,"0,875",0.87500000,"0,08425160698",0.08425161,"0,2463122766",0.24631228,Center,4
206,"0,7",0.70000000,"0,1245598592",0.12455986,"0,3641547454",0.36415475,Center,4
208,"0,75",0.75000000,"0,02460945859",0.02460946,"0,07194654189",0.07194654,Center,4
198,"0,5",0.50000000,"0,1729708432",0.17297084,"0,5056858106",0.50568581,Shooting guard,1
191,"0,325",0.32500000,"0,03886925795",0.03886926,"0,1136355229",0.11363552,Point guard,0
198,"0,5",0.50000000,"0,005801585767",0.00580159,"0,01696112216",0.01696112,Small forward,2
201,"0,575",0.57500000,"0,001107828656",0.00110783,"0,003238772625",0.00323877,Center,4
211,"0,825",0.82500000,"0,160779072",0.16077907,"0,4700427763",0.47004278,Power forward,3
183,"0,125",0.12500000,"0,08964879852",0.08964880,"0,2620911393",0.26209114,Point guard,0
201,"0,575",0.57500000,"0,1182197497",0.11821975,"0,3456192318",0.34561923,Small forward,2
208,"0,75",0.75000000,"0,009874917709",0.00987492,"0,0288696388",0.02886964,Center,4
206,"0,7",0.70000000,"0,05133470226",0.05133470,"0,1500786494",0.15007865,Power forward,3
196,"0,45",0.45000000,"0,2023217247",0.20232172,"0,5914940545",0.59149405,Shooting guard,1
203,"0,625",0.62500000,"0,1292688517",0.12926885,"0,3779216361",0.37792164,Power forward,3
193,"0,375",0.37500000,0,0.00000000,0,0.00000000,Point guard,0
188,"0,25",0.25000000,"0,1268462207",0.12684622,"0,3708389966",0.37083900,Point guard,0
191,"0,325",0.32500000,"0,00295366439",0.00295366,"0,008635132626",0.00863513,Point guard,0
193,"0,375",0.37500000,"0,1908366534",0.19083665,"0,55791708",0.55791708,Point guard,0
206,"0,7",0.70000000,"0,1430431245",0.14304312,"0,4181911646",0.41819116,Center,4
211,"0,825",0.82500000,"0,1737954353",0.17379544,"0,5080965321",0.50809653,Power Forward,3
211,"0,825",0.82500000,"0,1111111111",0.11111111,"0,3248368988",0.32483690,Power forward,3
198,"0,5",0.50000000,"0,1037630817",0.10376308,"0,303354699",0.30335470,Small forward,2
196,"0,45",0.45000000,"0,273399584",0.27339958,"0,7992924571",0.79929246,Point guard,0
193,"0,375",0.37500000,"0,02836611195",0.02836611,"0,08292923854",0.08292924,Point guard,0
185,"0,175",0.17500000,"0,1134175048",0.11341750,"0,3315797148",0.33157971,Point guard,0
185,"0,175",0.17500000,"0,1243048741",0.12430487,"0,3634092883",0.36340929,Point guard,0
201,"0,575",0.57500000,"0,01895226176",0.01895226,"0,05540754542",0.05540755,Small forward,2
211,"0,825",0.82500000,"0,09031710079",0.09031710,"0,2640449424",0.26404494,Power forward,3
213,"0,875",0.87500000,"0,07345739471",0.07345739,"0,2147550506",0.21475505,Center,4
185,"0,175",0.17500000,"0,1989693032",0.19896930,"0,5816931427",0.58169314,Point guard,0
196,"0,45",0.45000000,"0,1548828988",0.15488290,"0,4528051247",0.45280512,Shooting guard,1
211,"0,825",0.82500000,"0,1912919343",0.19129193,"0,5592481084",0.55924811,Center,4
196,"0,45",0.45000000,"0,1657997399",0.16579974,"0,48472086",0.48472086,Shooting guard,1
198,"0,5",0.50000000,"0,006256517205",0.00625652,"0,01829112882",0.01829113,Small forward,2
216,"0,95",0.95000000,"0,2473184186",0.24731842,"0,7230433331",0.72304333,Center,4
203,"0,625",0.62500000,"0,08490902604",0.08490903,"0,2482342623",0.24823426,Power forward,3
198,"0,5",0.50000000,"0,005681818182",0.00568182,"0,01661097778",0.01661098,Point guard,0
201,"0,575",0.57500000,"0,1785173979",0.17851740,"0,5219013413",0.52190134,Small forward,2
211,"0,825",0.82500000,"0,1635687732",0.16356877,"0,4781985573",0.47819856,Power forward,3
191,"0,325",0.32500000,0,0.00000000,0,0.00000000,Point guard,0
185,"0,175",0.17500000,"0,1831166063",0.18311661,"0,5353472746",0.53534727,Point guard,0
211,"0,825",0.82500000,"0,1863488624",0.18634886,"0,5447968791",0.54479688,Center,4
203,"0,625",0.62500000,"0,1722383721",0.17223837,"0,5035444079",0.50354441,Power forward,3
203,"0,625",0.62500000,"0,1868317389",0.18683174,"0,546208584",0.54620858,Small forward,2
201,"0,575",0.57500000,"0,2237864078",0.22378641,"0,6542467444",0.65424674,Small forward,2
201,"0,575",0.57500000,"0,1586634654",0.15866347,"0,4638577325",0.46385773,Power forward,3
191,"0,325",0.32500000,"0,005555555556",0.00555556,"0,01624184494",0.01624184,Point guard,0
196,"0,45",0.45000000,"0,1210485736",0.12104857,"0,3538893893",0.35388939,Shooting guard,1
203,"0,625",0.62500000,"0,1358618234",0.13586182,"0,3971964004",0.39719640,Power forward,3
208,"0,75",0.75000000,"0,2196353436",0.21963534,"0,642110975",0.64211097,Power forward,3
196,"0,45",0.45000000,"0,09502580948",0.09502581,"0,2778110033",0.27781100,Small forward,2
208,"0,75",0.75000000,"0,1576891447",0.15768914,"0,4610092747",0.46100927,Center,4
